TransactionId,UserId,VisitYear,VisitMonth,VisitMode_x,AttractionId,Rating,ContinentId,RegionId,CountryId,CityId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,Continent,AttractionType,VisitModeId,VisitMode_y
1,562,2020,12,4,1642,4.431186878764612,2,16,147,4457,252,Market,Night Market - Port of Spain,"Main Street, Port of Spain, Trinidad and Tobago",America,,4,Friends
2,900,2023,3,4,2350,4.445667647105797,2,10,141,7405,3614,Museum,Cultural Heritage Center - Lop Buri,"Main Street, Lop Buri, Thailand",America,,4,Friends
3,758,2023,11,3,2345,1.5733995058163739,4,12,28,4385,3599,Market,Local Bazaar - Ko Lanta,"Main Street, Ko Lanta, Thailand",Australia & Oceania,,3,Family
4,113,2017,5,3,2536,2.9442387931127807,5,10,46,8044,5815,Park,Botanical Garden - Bad Neuenahr-Ahrweiler,"Main Street, Bad Neuenahr-Ahrweiler, Germany",Europe,,3,Family
5,170,2015,1,3,2440,1.5777306896339915,4,12,90,3842,5510,Market,Night Market - Devonport,"Main Street, Devonport, New Zealand",Australia & Oceania,,3,Family
6,468,2015,4,5,2063,4.988368070440995,5,19,109,1904,2544,Museum,Art Gallery - Beirut,"Main Street, Beirut, Lebanon",Europe,,5,Solo
7,678,2017,8,4,2659,1.988787047316952,3,16,141,4745,6329,Museum,Art Gallery - Baku,"Main Street, Baku, Azerbaijan",Asia,,4,Friends
8,921,2019,6,3,928,3.6712435825924374,5,6,117,923,2,82,Khayangan Reflexology & Massage,Malang,Europe,Spas,3,Family
9,14,2017,1,4,1443,4.662224955050549,2,9,10,2015,75,Beach,Crystal Bay - Bizerte,"Main Street, Bizerte, Tunisia",America,,4,Friends
10,715,2023,12,3,2831,2.30505440904357,3,17,1,2669,6964,Beach,Paradise Beach - Paola,"Main Street, Paola, Malta",Asia,,3,Family
11,288,2023,1,4,2697,3.4402106723818906,4,9,100,8989,6368,Museum,Cultural Heritage Center - Goryachy Klyuch,"Main Street, Goryachy Klyuch, Russia",Australia & Oceania,,4,Friends
12,907,2017,3,3,2758,3.9297150436846033,5,5,104,3802,6711,Beach,Crystal Bay - Tyreso,"Main Street, Tyreso, Sweden",Europe,,3,Family
13,189,2017,10,2,1396,1.6408190175821815,4,9,138,2746,42,Museum,Cultural Heritage Center - Victoria Falls,"Main Street, Victoria Falls, Zambia",Australia & Oceania,,2,Couples
