TransactionId,UserId,VisitYear,VisitMonth,VisitModeId,AttractionId,Rating
1,460,2025,2,3,1133,3.3
2,356,2023,10,5,897,3.8
3,324,2015,7,4,1220,4.0
4,133,2018,12,2,1225,3.8
5,888,2024,9,3,975,2.3
6,805,2012,1,4,673,1.4
7,840,2015,3,1,975,2.1
8,127,2012,5,5,913,1.8
9,106,2023,3,4,897,1.5
10,604,2022,1,3,913,1.1
11,799,2010,7,3,749,4.7
12,378,2023,7,3,928,4.7
13,905,2022,10,4,897,1.2
14,51,2025,12,3,1171,1.7
15,29,2021,8,4,920,1.6
16,462,2014,5,3,949,2.1
17,296,2019,10,1,369,1.8
18,297,2023,12,1,1137,4.8
19,726,2022,5,2,481,1.3
20,779,2020,5,3,947,1.8
21,407,2013,1,3,949,1.3
22,769,2016,10,4,749,4.9
23,814,2015,5,4,640,4.7
24,613,2019,6,3,1166,3.9
25,405,2016,12,2,1225,2.7
26,346,2014,1,3,913,1.8
27,622,2024,11,4,1225,1.9
28,420,2024,7,3,824,2.8
29,182,2013,1,4,1280,4.1
30,983,2025,11,3,749,2.1
31,825,2016,2,5,937,2.2
32,1,2016,2,4,1166,3.4
33,831,2015,5,2,1166,2.0
34,950,2017,10,5,1171,3.3
35,567,2013,7,3,928,2.5
36,371,2019,1,4,841,1.1
37,936,2014,10,5,1133,2.6
38,911,2013,1,2,841,4.7
39,661,2021,1,4,1220,2.2
40,431,2010,6,5,1220,2.3
41,969,2021,2,5,1171,1.3
42,309,2017,1,5,737,3.5
43,137,2010,6,1,1137,4.4
44,202,2014,2,3,937,2.4
45,436,2024,6,4,1280,2.0
46,313,2015,10,4,928,4.8
47,117,2015,8,4,920,4.0
48,666,2022,2,5,1137,3.3
49,937,2014,11,3,913,2.2
50,803,2025,9,2,650,1.9
51,575,2012,8,4,650,3.9
52,244,2024,12,3,1297,3.1
53,537,2014,10,3,481,3.1
54,602,2021,1,1,1280,1.3
55,75,2017,7,4,877,3.0
56,806,2023,10,5,1297,4.3
57,386,2011,6,3,650,4.8
58,903,2025,6,3,1133,1.4
59,210,2015,6,2,1280,3.5
60,475,2018,6,1,1278,3.3
61,418,2017,10,3,1133,4.6
62,347,2023,7,3,928,4.0
63,529,2020,12,5,1133,4.9
64,640,2017,3,5,650,4.8
65,939,2017,6,2,369,1.9
66,955,2024,3,2,1297,3.9
67,876,2022,7,2,1225,3.1
68,763,2016,7,5,1171,1.9
69,179,2017,8,5,949,1.8
70,182,2022,2,1,481,1.3
71,664,2015,9,4,824,4.2
72,25,2011,5,4,1166,2.3
73,967,2011,9,1,1220,4.4
74,180,2017,10,4,897,3.4
75,710,2020,5,5,947,3.7
76,501,2010,7,4,928,2.2
77,856,2015,11,5,928,2.8
78,161,2022,9,1,1220,2.6
79,177,2025,4,2,841,1.9
80,285,2015,2,1,824,4.3
81,63,2025,9,4,877,3.5
82,662,2020,2,5,1220,1.1
83,666,2013,3,4,1225,4.3
84,156,2021,10,4,1280,1.4
85,882,2020,2,2,1225,2.6
86,469,2022,3,4,650,3.3
87,49,2024,6,2,841,1.0
88,967,2020,3,5,640,3.6
89,849,2025,10,5,737,3.6
90,84,2022,8,2,640,3.6
91,361,2019,11,1,1238,1.7
92,689,2012,6,5,824,2.0
93,148,2022,7,1,640,2.0
94,630,2020,1,5,947,4.8
95,342,2012,3,5,749,1.3
96,476,2024,3,3,1137,2.7
97,63,2024,2,4,749,4.5
98,701,2025,7,4,920,4.1
99,360,2022,9,1,897,4.3
100,561,2022,4,4,748,4.9
101,327,2010,12,1,949,2.5
102,769,2012,5,5,749,2.2
103,736,2013,3,3,841,1.1
104,141,2020,11,3,937,1.6
105,990,2020,9,5,369,3.2
106,215,2014,4,2,897,1.6
107,435,2012,5,2,1280,3.9
108,891,2015,1,4,1225,1.1
109,952,2020,11,1,897,2.0
110,723,2023,12,3,1171,3.8
111,318,2024,2,4,928,2.0
112,32,2021,12,5,1280,3.9
113,670,2025,9,3,824,5.0
114,285,2014,2,1,841,4.2
115,305,2012,5,1,737,2.4
116,429,2015,8,2,673,4.6
117,477,2015,3,4,481,1.2
118,286,2024,6,5,877,3.9
119,144,2023,4,3,824,1.1
120,424,2017,11,1,737,1.7
121,19,2011,7,3,749,5.0
122,18,2010,10,5,824,2.4
123,769,2025,3,3,824,4.3
124,590,2013,6,4,749,2.5
125,371,2025,12,2,888,4.4
126,175,2016,10,3,1225,4.9
127,194,2024,9,2,749,2.7
128,502,2025,11,5,640,3.2
129,988,2020,10,2,897,3.5
130,113,2019,1,3,949,4.7
131,114,2012,3,3,481,2.0
132,222,2012,2,1,937,3.4
133,678,2025,8,3,928,2.3
134,947,2014,7,2,650,1.9
135,831,2014,2,1,947,1.3
136,644,2022,6,3,913,3.5
137,897,2019,3,3,1297,4.5
138,264,2012,8,5,481,2.4
139,925,2018,10,1,897,3.2
140,55,2013,3,5,1238,3.6
141,871,2022,10,5,1238,2.7
142,643,2022,9,5,1133,4.6
143,800,2024,1,4,975,2.5
144,778,2012,5,5,937,1.5
145,458,2020,3,2,920,1.6
146,979,2011,6,3,1220,4.6
147,878,2019,10,4,1297,5.0
148,162,2022,2,5,975,2.2
149,380,2020,9,3,673,1.6
150,993,2018,6,1,748,2.9
151,87,2013,7,1,947,3.8
152,55,2025,5,3,1171,3.4
153,476,2012,9,2,877,4.8
154,800,2016,1,3,947,4.3
155,178,2017,5,3,1238,4.5
156,391,2020,11,4,1225,3.2
157,349,2023,10,1,673,2.3
158,8,2011,11,1,897,3.8
159,833,2016,6,5,1278,2.8
160,313,2021,7,3,947,2.2
161,759,2014,12,3,481,1.6
162,835,2024,4,2,975,3.1
163,984,2020,12,1,650,3.4
164,983,2014,1,2,897,3.3
165,443,2012,11,4,1171,1.5
166,767,2014,8,5,1280,3.3
167,328,2021,10,2,928,1.7
168,54,2011,4,1,737,3.7
169,761,2013,3,4,1225,2.7
170,239,2015,12,3,749,4.4
171,229,2010,7,4,928,4.1
172,579,2019,12,2,897,3.9
173,51,2013,2,1,1166,3.8
174,609,2015,8,2,1280,3.2
175,604,2018,6,3,1225,1.2
176,264,2023,7,3,650,3.6
177,418,2020,5,1,481,2.9
178,803,2025,9,5,824,2.9
179,96,2020,5,4,947,2.5
180,88,2022,11,4,937,4.7
181,78,2011,5,3,749,2.0
182,288,2020,3,2,1225,2.3
183,120,2016,11,2,920,4.9
184,814,2015,1,5,824,4.2
185,491,2011,2,2,937,1.1
186,912,2017,8,4,1166,4.6
187,452,2016,1,2,481,1.9
188,500,2020,7,5,737,3.8
189,165,2014,5,4,1280,3.2
190,182,2021,3,2,1238,3.1
191,469,2014,12,4,673,3.9
192,910,2016,12,3,937,1.8
193,735,2018,11,3,481,1.6
194,823,2020,7,3,947,3.6
195,944,2024,9,2,841,2.2
196,978,2018,2,5,841,4.9
197,7,2018,8,4,737,2.8
198,330,2015,9,1,1238,1.4
199,775,2019,11,3,888,3.7
200,673,2015,3,3,937,2.2
201,151,2012,2,1,1238,1.6
202,85,2010,7,1,897,2.7
203,147,2025,5,2,975,4.9
204,624,2016,5,4,1278,2.6
205,381,2013,10,3,928,2.4
206,915,2010,5,5,841,2.8
207,548,2024,4,2,1238,1.0
208,285,2017,5,2,1133,1.5
209,700,2021,4,5,481,4.4
210,82,2015,6,5,481,4.9
211,514,2015,4,5,1166,1.6
212,897,2011,2,1,748,3.1
213,815,2024,9,3,737,4.9
214,709,2010,2,1,369,1.6
215,916,2022,9,3,888,1.7
216,523,2023,10,1,897,4.7
217,746,2023,6,4,888,3.8
218,386,2011,9,3,949,1.6
219,707,2013,9,2,824,2.6
220,471,2011,3,3,841,1.2
221,119,2025,1,3,937,2.7
